internal_doc_id,original_doc_id,start_offset,length
1|0704.0001|0|1688
2|0704.0002|1689|1380
3|0704.0003|3070|1449
4|0704.0004|4520|684
5|0704.0005|5205|735
6|0704.0006|5941|1421
7|0704.0007|7363|1714
8|0704.0008|9078|1670
9|0704.0009|10749|2487
10|0704.0010|13237|1149
11|0704.0011|14387|1093
12|0704.0012|15481|1038
13|0704.0013|16520|1209
14|0704.0014|17730|568
15|0704.0015|18299|1024
16|0704.0016|19324|1368
17|0704.0017|20693|2384
18|0704.0018|23078|927
19|0704.0019|24006|739
20|0704.0020|24746|1419
21|0704.0021|26166|1157
22|0704.0022|27324|1960
23|0704.0023|29285|2092
24|0704.0024|31378|1632
25|0704.0025|33011|1531
26|0704.0026|34543|1583
27|0704.0027|36127|1595
28|0704.0028|37723|915
29|0704.0029|38639|1261
30|0704.0030|39901|1340
31|0704.0031|41242|1249
32|0704.0032|42492|1662
33|0704.0033|44155|1971
34|0704.0034|46127|539
35|0704.0035|46667|1348
36|0704.0036|48016|1755
37|0704.0037|49772|1813
38|0704.0038|51586|1522
39|0704.0039|53109|1806
40|0704.0040|54916|1011
41|0704.0041|55928|2122
42|0704.0042|58051|1114
43|0704.0043|59166|1795
44|0704.0044|60962|3043
45|0704.0045|64006|1985
46|0704.0046|65992|1022
47|0704.0047|67015|1675
48|0704.0048|68691|1942
49|0704.0049|70634|797
50|0704.0050|71432|1452
51|0704.0051|72885|1254
52|0704.0052|74140|1194
53|0704.0053|75335|2129
54|0704.0054|77465|771
55|0704.0055|78237|1729
56|0704.0056|79967|1115
57|0704.0057|81083|1352
58|0704.0058|82436|1466
59|0704.0059|83903|2532
60|0704.0060|86436|1220
61|0704.0061|87657|1468
62|0704.0062|89126|1492
63|0704.0063|90619|1351
64|0704.0064|91971|1927
65|0704.0065|93899|1752
66|0704.0066|95652|2355
67|0704.0067|98008|1923
68|0704.0068|99932|885
69|0704.0069|100818|1931
70|0704.0070|102750|1138
71|0704.0071|103889|582
72|0704.0072|104472|1549
73|0704.0073|106022|1180
74|0704.0074|107203|1345
75|0704.0075|108549|1188
76|0704.0076|109738|806
77|0704.0077|110545|838
78|0704.0078|111384|967
79|0704.0079|112352|988
80|0704.0080|113341|2568
81|0704.0081|115910|1005
82|0704.0082|116916|1751
83|0704.0083|118668|1661
84|0704.0084|120330|2469
85|0704.0085|122800|2163
86|0704.0086|124964|1627
87|0704.0087|126592|1000
88|0704.0088|127593|1484
89|0704.0089|129078|1562
90|0704.0090|130641|1006
91|0704.0091|131648|1247
92|0704.0092|132896|926
93|0704.0093|133823|1474
94|0704.0094|135298|1920
95|0704.0095|137219|1408
96|0704.0096|138628|824
97|0704.0097|139453|695
98|0704.0098|140149|1416
99|0704.0099|141566|1720
100|0704.0100|143287|1386
101|0704.0101|144674|732
102|0704.0102|145407|662
103|0704.0103|146070|936
104|0704.0104|147007|957
105|0704.0105|147965|1503
106|0704.0106|149469|2258
107|0704.0107|151728|903
108|0704.0108|152632|442
109|0704.0109|153075|1248
110|0704.0110|154324|839
111|0704.0111|155164|965
112|0704.0112|156130|1609
113|0704.0113|157740|2191
114|0704.0114|159932|1793
115|0704.0115|161726|846
116|0704.0116|162573|951
117|0704.0117|163525|1516
118|0704.0118|165042|1221
119|0704.0119|166264|1585
120|0704.0120|167850|1422
121|0704.0121|169273|1365
122|0704.0122|170639|1218
123|0704.0123|171858|1727
124|0704.0124|173586|856
125|0704.0125|174443|930
126|0704.0126|175374|1733
127|0704.0127|177108|1736
128|0704.0128|178845|2354
129|0704.0129|181200|832
130|0704.0130|182033|1097
131|0704.0131|183131|1162
132|0704.0132|184294|1361
133|0704.0133|185656|1489
134|0704.0134|187146|1707
135|0704.0135|188854|1420
136|0704.0136|190275|1300
137|0704.0137|191576|1054
138|0704.0138|192631|2590
139|0704.0139|195222|2046
140|0704.0140|197269|1325
141|0704.0141|198595|822
142|0704.0142|199418|1507
